State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Kazakhstan","May-2014",361.61,
"Total","Total","TOTAL","Monthly","New Zealand","Aug-2013",648205.056,
"Total","Total","TOTAL","Monthly","New Zealand","Sep-2013",628278.052,
"Total","Total","TOTAL","Monthly","New Zealand","Oct-2013",730161.61,
"Total","Total","TOTAL","Monthly","New Zealand","Nov-2013",596390.293,
"Total","Total","TOTAL","Monthly","New Zealand","Dec-2013",662010.457,
"Total","Total","TOTAL","Monthly","New Zealand","Jan-2014",545522.469,
"Total","Total","TOTAL","Monthly","New Zealand","Feb-2014",574972.309,
"Total","Total","TOTAL","Monthly","New Zealand","Mar-2014",626296.195,
"Total","Total","TOTAL","Monthly","New Zealand","Apr-2014",581537.448,
"Total","Total","TOTAL","Monthly","New Zealand","May-2014",701078.24,
"Total","Total","TOTAL","Monthly","French Polynesia","Aug-2013",2429,
"Total","Total","TOTAL","Monthly","French Polynesia","Sep-2013",4166.559,
"Total","Total","TOTAL","Monthly","French Polynesia","Oct-2013",3743.474,
"Total","Total","TOTAL","Monthly","French Polynesia","Nov-2013",3623.937,
"Total","Total","TOTAL","Monthly","French Polynesia","Dec-2013",3551.068,
"Total","Total","TOTAL","Monthly","French Polynesia","Jan-2014",4120.125,
"Total","Total","TOTAL","Monthly","French Polynesia","Feb-2014",4062.485,
"Total","Total","TOTAL","Monthly","French Polynesia","Mar-2014",3405.559,
"Total","Total","TOTAL","Monthly","French Polynesia","Apr-2014",3307.89,
"Total","Total","TOTAL","Monthly","French Polynesia","May-2014",3749.338,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Aug-2013",216833.973,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Sep-2013",173361.638,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Oct-2013",234685.454,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Nov-2013",153356.65,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Dec-2013",252757.005,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Jan-2014",170821.621,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Feb-2014",141710.459,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Mar-2014",181493.405,
"Total","Total","TOTAL","Monthly","Papua New Guinea","Apr-2014",188290.74,
"Total","Total","TOTAL","Monthly","Papua New Guinea","May-2014",246597.866,
"Total","Total","TOTAL","Monthly","Qatar","Aug-2013",69962.284,
"Total","Total","TOTAL","Monthly","Qatar","Sep-2013",27076.193,
"Total","Total","TOTAL","Monthly","Qatar","Oct-2013",18186.634,
"Total","Total","TOTAL","Monthly","Qatar","Nov-2013",27840.026,
"Total","Total","TOTAL","Monthly","Qatar","Dec-2013",42387.146,
"Total","Total","TOTAL","Monthly","Qatar","Jan-2014",52121.986,
